"","cat1","year","y","period","sdvals"
"1","wills","1348",1.87293190237827,"early",0.329022322059353
"2","wills","1361",2.99979500298942,"early",0.478654636717738
"3","wills","1368",2.13302815527778,"early",0.247233457246762
"4","wills","1375",2.95815599258133,"early",0.751170796487987
"5","parish","1563",3.49339566181325,"late",0.176680926719433
"6","LBoM","1563",3.947869162972,"late",0.326821316779078
"7","parish","1593",3.93021481099881,"late",0.333981731870839
"8","wills","1603",3.55182489786538,"late",0.240537958529503
"9","parish","1603",2.77411815669662,"late",0.378792297784479
"10","LBoM","1603",4.10022821119958,"late",0.244427832328353
"11","wills","1625",2.84803462008037,"late",0.131973529866426
"12","parish","1625",3.25057235674204,"late",0.338958420346061
"13","LBoM","1625",3.92614154594247,"late",0.524274987020599
"14","wills","1665",2.92068058911079,"late",0.321746833807385
"15","parish","1665",3.78786496905972,"late",0.176937117138541
"16","LBoM","1665",4.21603828401512,"late",0.533774353367396
