Catch,red,Area,z.WTRSHDArea,Limestone
3,13,25465.48405,1.745396661,0
3,0,22108.55946,0.797886729,0
2,0,76162.45165,2.103773013,0
1,0,48277.1793,0.739385683,0
4,7,6755.478677,-0.758102185,0
4,6,20826.02198,1.015608467,0
4,15,7199.031209,-0.756853303,0
2,21,7656.855784,-0.09411517,1
2,30,7921.761315,-0.094198903,1
1,30,8475.032956,0.216084504,1
1,26,16237.85304,0.448370708,0
1,19,9284.251788,0.216084118,1
2,0,91835.76094,1.836436002,0
1,0,11840.68029,-0.205617151,0
2,0,2839.628955,-0.0715404,0
2,0,6219.38977,-1.389084859,0
3,0,95737.06075,1.327145304,1
3,0,67526.27587,1.055464364,1
2,0,10868.52717,-0.208041848,0
3,0,120621.6883,1.910208878,0
1,0,5784.59936,-0.689791305,0
1,0,27049.73035,0.548011345,0
3,0,5943.144384,-0.293061994,0
4,0,4634.65128,0.31011486,0
2,0,4448.610133,-0.353543279,0
2,0,31351.4571,0.024984933,0
1,0,9309.904138,-0.593674807,0
2,0,10836.96249,-0.687994004,0
1,30,9745.287305,-0.188445681,1
3,0,1194.46994,-0.127218756,1
3,0,43303.25432,0.860836209,1
3,0,7792.691465,-0.883718433,0
1,0,4004.540282,-2.42878367,0
1,0,11593.0294,-0.080239171,0
2,0,7968.840212,-1.710564887,0
2,0,7667.597078,-1.410961849,0
1,0,7952.972604,-0.751056469,0
4,0,6187.941832,0.205893159,1
1,0,3093.567545,-1.096212411,0
3,0,58468.77587,0.942363144,1
2,0,44103.92671,1.433159204,0
2,30,9290.664986,-0.809177864,1
4,0,112768.4613,2.161722176,0
2,0,7066.819312,-0.110913014,0
1,0,40821.23949,0.279407072,0
2,0,1576.51957,-1.888764247,0
1,9,9315.098064,-0.882745582,0
1,29,16774.44676,0.00214663,0
1,0,36535.41087,0.408382349,0
1,0,19990.38696,-0.888168409,0
3,9,19019.25607,0.044452329,1
3,24,11050.89478,-0.630960541,1
3,12,11604.79334,0.044470828,1
1,11,235189.9118,1.979263388,0
2,0,6909.854164,-1.158637566,0
2,0,6666.963859,0.753891262,0
1,26,11584.39055,-0.596163391,0
1,15,18304.49001,0.213300816,0
2,0,10342.02341,-0.555536535,0
2,0,5409.573624,-0.948874086,0
1,0,5472.961458,-0.87467955,0
2,0,7524.118251,0.731848518,0
4,0,10017.38429,-0.138651331,0
